seller,day_of_week,income
Abraham Bennet,sunday,232328748
Albert Ringer,sunday,362985486
Ann Dull,sunday,34138287
Anne Ringer,sunday,49050828
Burt Gringlesby,sunday,112782280
Charlene Locksley,sunday,93745116
Cheryl Carson,sunday,69553595
Dean Straight,sunday,176873005
Dirk Stringer,sunday,698820601
Heather McBadden,sunday,266458384
Innes del Castillo,sunday,244679491
Johnson White,sunday,88933984
Livia Karsen,sunday,137975384
Marjorie Green,sunday,104815534
Meander Smith,sunday,56678279
Michael O'Leary,sunday,125981634
Michel DeFrance,sunday,438321488
Morningstar Greene,sunday,68473053
Reginald Blotchet-Halls,sunday,80496472
Sheryl Hunter,sunday,148514539
Stearns MacFeather,sunday,27431434
Sylvia Panteley,sunday,95337213
